City State,"Violent Crime Rate Per 100,000 People","Property Crime Rate Per 100,000 People"
Lorain OH,506.6,5039.9
Loveland CO,209.7,2600.3
Lynchburg VA,345.2,2706
Lynn MA,820.9,2818.8
Lynwood CA,763,1936.3
Macon GA,628,7216
Madera CA,742.1,2581.4
Malden MA,462,1985
Manteca CA,384.7,3891.9
Maple Grove MN,#N/A,2036.9
Marysville WA,189,2882
Medford OR,558.9,5810.3
Melbourne FL,853.1,4374.3
Menifee CA,108.7,2426.1
Merced CA,1000.3,5076.8
Meriden CT,364.3,2973.7
Meridian ID,119.1,1591.8
Miami Beach FL,1033.3,9913.7
Middletown NJ,67.2,1092.4
Milpitas CA,118.4,2956.2
Mission Viejo CA,76.4,1252.1
Mission TX,129.1,2942
Missoula MT,326.2,4488
Missouri City TX,121.4,1241.2
Montebello CA,229.8,2793.6
Monterey Park CA,122.4,1668
Mount Pleasant SC,218.5,1756.7
Mount Vernon NY,899.5,1973.7
Mountain View CA,204.1,1868.8
Muncie IN,367,4173.5
Nampa ID,243.7,2616.5
Napa CA,274.8,2090.6
Nashua NH,234.8,2717.9
New Bedford MA,1072.6,3311.4
New Braunfels TX,190.1,3488.6
New Britain CT,431.5,3971
New Rochelle NY,232,1789.2
Newport Beach CA,115.7,2464.3
Newton MA,87.6,1031
North Bergen NJ,144.1,1183.9
North Little Rock AR,711.3,8666.9
North Miami FL,854.6,4876.6
North Richland Hills TX,258.6,2390.9
Northern York Regional PA,98.5,1736.5
Norwalk CT,313.8,1975.9
O'Fallon MO,91.7,1544.6
Ogden UT,414.9,4702.5
Old Bridge NJ,84.8,1380.6
Orem UT,44.6,2357.7
Oshkosh WI,287.2,2588.9
Palatine IL,42.1,1293.4
Palo Alto CA,80.3,2134.2
Parma OH,69.2,557
Pasco WA,304,2606.3
Passaic NJ,730.4,2077.3
Pawtucket RI,405.1,3445.2
Pearland TX,129.9,1851.1
Perris CA,339.9,2946.9
Pharr TX,366.9,3157.7
Pico Rivera CA,407.9,2781.8
Pittsburg CA,234.2,3247
Plantation FL,317,3925.7
Pleasanton CA,68.2,1779.5
Plymouth MN,#N/A,1663.4
Portland ME,260.5,3963.1
Portsmouth VA,476.5,4983.5
Quincy MA,427.8,1657.8
Racine WI,473.1,4023.8
Ramapo Town NY,93.6,837.9
Rancho Cordova CA,593.5,3182.1
Rapid City SD,607.3,5080.1
Reading PA,935,4078.7
Redding CA,774.9,4814.6
Redlands CA,313.9,4250.1
Redondo Beach CA,280,2352
Redwood City CA,265.1,2294
Renton WA,302,4867.6
Rio Rancho NM,225.8,2128.3
Roanoke VA,554.3,4879.3
Rock Hill SC,656.7,3783.2
Roswell GA,143.3,1867.8
San Clemente CA,115.2,1289
San Leandro CA,503.1,4126.9
San Marcos CA,264.5,1750.4
San Mateo CA,262.8,1889.2
San Ramon CA,60.8,1148.4
Sandy Springs GA,191,2809.3
Sandy UT,162.6,2945.6
Santa Barbara CA,403.9,3466.1
Santa Cruz CA,711,5886.5
Santa Fe NM,481.4,5668.3
Santa Monica CA,433,3725.3
Schaumburg IL,91.2,3334.5
Schenectady NY,939.5,4244.3
Scranton PA,331.1,3354
Shawnee KS,133.8,1668.2
Shelby MI,116.3,1417
Sioux City IA,329,4166.2
Skokie IL,205.8,2422.6
Somerville MA,348.4,2233.2
South Gate CA,576.2,2652
South San Francisco CA,170.8,2032.1
Southfield MI,487.2,3527.9
Sparks NV,253.3,2769.9
Spokane Valley WA,215,5270.7
Springdale AR,463.2,3756.2
Springfield OH,618.3,7188.9
Springfield OR,173,5076.6
St. Charles MO,151.4,2921
St. George UT,204.5,2059.9
St. Joseph MO,417.7,6088.2
Sugar Land TX,131.4,1858.3
Sunrise FL,263.9,3704.3
Tamarac FL,306.2,2520
Taylor MI,484.5,3834.7
Temple TX,296.2,#N/A
Terre Haute IN,312.3,6099.6
Toms River NJ,87.9,3140.1
Tracy CA,170.5,2537.4
Trenton NJ,1466.3,3218.6
Troy MI,73.6,2040
Tulare CA,617.9,3944.3
Turlock CA,638.2,3565.2
Tuscaloosa AL,519.7,4728.6
Tustin CA,147.3,2135.7
Union City CA,330.6,2543.3
Union City NJ,370.3,1873.6
Upland CA,195.9,3082.2
Upper Darby PA,623.1,2380.1
Utica NY,658.2,4330.2
Vacaville CA,261.8,2161.8
Victoria TX,632.1,4032.7
Vineland NJ,367.3,4148.4
Vista CA,483.9,1961.8
Walnut Creek CA,127.6,3114.7
Waltham MA,236.5,1375.5
Warner Robins GA,528.7,5747.4
Warwick RI,124,2572.9
Waterford MI,195.2,1856.7
Waterloo IA,682,3647.8
Waukegan IL,469.4,3004.4
Waukesha WI,150.6,1835.4
West Allis WI,313.8,4793.8
West Bloomfield MI,55.3,1059
West Hartford CT,72.5,2669.8
Westland MI,405.8,2893.2
Westminster CA,309,3128.1
Weston FL,91.9,980
Whittier CA,284.8,2884.5
Wilmington DE,1703.5,5304.6
Woodbury MN,#N/A,2291.5
Yakima WA,605.9,6180.8
Yorba Linda CA,80.5,1195.7
York Area Regional PA,120.2,1052.2
Youngstown OH,1027.5,5462.2
Yuba City CA,376.2,3018.9
Yuma AZ,531.6,3508.5
Abington PA,197.4,1979.1
Albany OR,86.1,3092.9
Alexandria LA,1682.2,7492.4
Aliso Viejo CA,87.8,847
Altamonte Springs FL,335.7,3057
Altoona PA,351.3,1946
Ames IA,131.6,2453.1
Anderson IN,481,5095.1
